Name,Calories,Fat_g,Carbs_g,Protein_g,Serving_Size_g
Artichoke Yerusalem dan Linguine Jantung Artichoke,700.0,9.0,107.8,20.0,100.0
Steak dan Telur Gaya Korea,700.0,10.9,60.8,40.0,100.0
Tomat Berbumbu Falafel dan Buncis Di Atas Roti Pipih,700.0,16.2,85.2,20.0,100.0
Salmon Liar Rebus dengan Kacang Polong dan Morel,700.0,0.9,23.5,48.0,100.0
Sup Kacang Tuscan dan Swiss Chard,699.0,4.1,78.5,40.0,100.0
Pasta dan Casserole Domba (Pastitsio),699.0,4.2,73.8,29.0,100.0
Roti Domba Berbumbu dengan Saus Bawang Putih Pedas,699.0,11.6,22.8,26.0,100.0
Sandwich Salad Steak dengan Caper,699.0,8.6,11.0,49.0,100.0
Pizza Kentang,698.0,14.0,113.5,16.0,100.0
Kaki Ayam Cabai dan Madu,698.0,19.0,10.0,52.0,100.0
Pai Domba dan Kismis dengan Kacang Pinus dan Mint,698.0,12.3,44.5,22.0,100.0
Kerang Alla Diavola,698.0,5.8,77.0,39.0,100.0
Gulungan Lasagna dengan Tomat Panggang dan Terong,698.0,11.1,55.2,27.0,100.0
Kue Paskah Coklat Putih dengan Stroberi,697.0,10.1,59.8,11.0,100.0
Clafouti dengan Kismis,697.0,11.3,42.8,10.0,100.0
Sandwich Coppa Tekan dengan Brokoli Rabe Pesto,696.0,23.3,34.8,38.0,100.0
Kentang Panggang dengan Hash Steak Rib-Eye,696.0,15.3,56.2,21.0,100.0
Pasta Lobster dengan Saus Krim Herbal,696.0,13.1,58.8,50.0,100.0
Pistachio Crème Brûlée dengan Saus Ceri Asam,696.0,6.3,29.0,10.0,100.0
Risotto Udang dan Kacang,696.0,9.2,131.2,18.0,100.0
Kue Asparagus,696.0,27.4,59.5,20.0,100.0
Tiram Krim Di Atas Roti Jagung Panggang,695.0,9.8,114.0,26.0,100.0
Galette Keju Kambing dan Daun Bawang,695.0,18.9,90.5,27.0,100.0
Salad Pizza Campur,695.0,1.0,43.5,29.0,100.0
Stew Daging Sapi Tuscan dengan Polenta,695.0,14.7,61.2,54.0,100.0
Saus Salad Bawang Putih Panggang dan Buttermilk,695.0,10.3,12.2,13.0,100.0
Sandwich Cheddar dan Adas Panggang dengan Kari Mayo,694.0,11.0,41.2,22.0,100.0
Pasta dengan Terong dan Saus Kemangi,694.0,4.5,77.5,24.0,100.0
Rebusan Daging Sapi dan Jamur,694.0,0.3,15.5,50.0,100.0
Salad Daging Sapi dan Jeruk dengan Vinaigrette Mustard Bawang Merah,694.0,7.6,19.5,37.0,100.0
Linguine dengan Udang Bawang Putih dan Kemangi,694.0,8.2,74.2,43.0,100.0
Udang dan Bubur Jagung,694.0,4.0,58.0,48.0,100.0
"Ayam Panggang, Paprika, dan Salad Bawang",694.0,14.6,20.0,50.0,100.0
Daging Rebus dengan Butternut Squash,694.0,0.9,42.5,59.0,100.0
Poulet Au Vinaigre A L'Estragon,694.0,13.7,15.8,52.0,100.0
Daging Sapi Ala Thailand dengan Mie,693.0,18.5,78.2,41.0,100.0
Sayuran Termarinasi Panggang dengan Mozzarella Segar,693.0,5.2,44.5,23.0,100.0
"Couscous Israel, Kacang Polong, Awetan Lemon, Mint dan Keju Kambing",693.0,19.3,85.5,27.0,100.0
Ravioli Isi Ricotta (Ravioli Di Ricotta),692.0,13.4,95.8,30.0,100.0
Gratin Kentang-Parsinip,692.0,9.4,39.2,10.0,100.0
"Quesadilla Jagung Bakar, Zucchini, dan Kacang Hitam",692.0,8.1,60.2,25.0,100.0
Shepherd's Pie Sois dengan Ubi Jalar dan Labu,692.0,13.3,79.8,37.0,100.0
Salmon dalam Saus Kerang Saffron,692.0,4.9,15.2,61.0,100.0
Rebus Udang dengan Saus Lobak Pedas,691.0,0.4,95.0,35.0,100.0
Steak Domba Panggang Mediterania,691.0,15.0,17.8,47.0,100.0
Kepiting Cangkang Lunak dengan Bayam Layu dan Vinaigrette Tomat-Basil Hangat,691.0,19.0,23.5,57.0,100.0
Spaghetti dengan Brokoli Rabe dan Bawang Putih,691.0,3.8,88.5,19.0,100.0
Onion Rings Cabai Merah,691.0,14.0,40.2,11.0,100.0
Rebusan Daging Sapi Thailand dengan Serai dan Mie,691.0,1.1,59.5,57.0,100.0
Pasta dengan Butternut Squash dan Rosemary,691.0,6.7,81.5,26.0,100.0
"Farfalle dengan Kacang Polong, Lemon, dan Mint",691.0,9.8,102.0,28.0,100.0
Stew Kerang Provençale,691.0,6.4,33.0,97.0,100.0
Sup Bawang Perancis dengan Comté,690.0,2.2,47.0,40.0,100.0
Spaghettini dengan Saus Tomat Pedas,690.0,4.5,104.8,25.0,100.0
Stew Kentang,690.0,12.4,80.5,20.0,100.0
Cokelat Aprikot Kugelhupf,689.0,12.1,98.2,11.0,100.0
Ikan Lele Goreng Oven dengan Saus Rémoulade,689.0,14.5,34.8,34.0,100.0
Lasagna Kacang Hitam Kinstlinger-Bruhn,689.0,7.1,55.5,38.0,100.0
Casserole Mie Tuna,689.0,2.3,57.5,36.0,100.0
Tenderloin Daging Sapi dengan Krim Lobak Bawang Putih,688.0,19.5,11.2,37.0,100.0
pai banoffee,688.0,8.6,80.0,11.0,100.0
Pizza Terong dan Tomat,687.0,8.8,91.5,24.0,100.0
Keju Matzo Blintz dengan Asparagus dan Dill,687.0,11.3,35.8,37.0,100.0
Panettone Panzanella dengan Pancetta dan Kubis Brussel,687.0,5.9,44.5,17.0,100.0
Lo Mein Daging Sapi,687.0,8.2,67.5,48.0,100.0
Quesadillas Salmon Asap dengan Tomat Hangat dan Arugula,687.0,5.0,56.2,30.0,100.0
Ayam Tikka Masala,687.0,10.6,14.5,38.0,100.0
Lele dan Okra dengan Saus Mentega Kemiri,686.0,14.9,21.2,40.0,100.0
Pastitsio Domba dan Terong,685.0,14.1,57.0,31.0,100.0
Kue Keju Espresso-Hazelnut,684.0,25.7,30.5,10.0,100.0
"Kerang dengan Daun Bawang ""Leleh"" dan Mentega Tarragon-Caper",684.0,6.6,42.8,18.0,100.0
"Lasagna Labu Panggang, Rosemary, dan Bawang Putih",684.0,12.0,55.5,21.0,100.0
Burger Domba Wajah Terbuka dengan Saus Yogurt Mint,684.0,28.7,21.2,35.0,100.0
Spaghetti dengan Tomat Segar dan Rempah-rempah,683.0,2.6,77.2,26.0,100.0
Salmon dengan Sisik Kentang,683.0,11.3,19.2,48.0,100.0
"Filet Mignon Pan-Seared dengan Paprika Merah, Tomat, dan Saus Basil",682.0,13.4,15.8,49.0,100.0
Lasagna Tortilla Sayur,682.0,1.1,54.8,28.0,100.0
Salad Steak dengan Acar Sayuran,682.0,8.9,11.0,47.0,100.0
Sandwich Tuna Bakar Cal-Asia,681.0,5.7,38.0,49.0,100.0
Kue Frangipane Pir dan Ceri Kering,681.0,25.6,83.8,10.0,100.0
"Pasta dengan Tomat, Artichoke, dan Keju Feta",681.0,12.5,82.0,23.0,100.0
Artichoke dan Terong Panini,681.0,11.0,61.2,19.0,100.0
"Salad Bit, Mint, dan Keju Kambing",681.0,5.5,45.5,28.0,100.0
Cabai Picadillo Daging Sapi,681.0,17.0,39.0,75.0,100.0
Steak Domba Bumbu Timur Tengah dengan Quince Rebus,680.0,1.8,48.8,29.0,100.0
Gratin Dua Kentang Sederhana,679.0,10.4,63.5,14.0,100.0
Spaghetti dengan Saus Tomat Krim Kering Matahari,679.0,14.8,93.8,22.0,100.0
Cannelloni Udang dan Kepiting,679.0,3.9,53.2,31.0,100.0
Daging Cincang dengan Kuah Jamur,679.0,14.4,21.0,61.0,100.0
