,Food,Carbohydrates,Protein,Fats,Energy,Category
0,Artichoke Yerusalem dan Linguine Jantung Artichoke,107.75,20.0,21.0,700.0,Masakan Timur Tengah
1,Steak dan Telur Gaya Korea,60.75,40.0,33.0,700.0,Lauk
2,Tomat Berbumbu Falafel dan Buncis Di Atas Roti Pipih,85.25,20.0,31.0,700.0,Masakan Barat
3,Salmon Liar Rebus dengan Kacang Polong dan Morel,23.5,48.0,46.0,700.0,Lauk
4,Sup Kacang Tuscan dan Swiss Chard,78.5,40.0,25.0,699.0,Masakan Barat
5,Pasta dan Casserole Domba (Pastitsio),73.75,29.0,32.0,699.0,Pasta
6,Roti Domba Berbumbu dengan Saus Bawang Putih Pedas,22.75,26.0,56.0,699.0,Sandwich
7,Sandwich Salad Steak dengan Caper,11.0,49.0,51.0,699.0,Sandwich
8,Pizza Kentang,113.5,16.0,20.0,698.0,Masakan Barat
9,Kaki Ayam Cabai dan Madu,10.0,52.0,50.0,698.0,Masakan Indonesia
10,Pai Domba dan Kismis dengan Kacang Pinus dan Mint,44.5,22.0,48.0,698.0,Masakan Barat
11,Kerang Alla Diavola,77.0,39.0,26.0,698.0,Lauk
12,Gulungan Lasagna dengan Tomat Panggang dan Terong,55.25,27.0,41.0,698.0,Pasta
13,Kue Paskah Coklat Putih dengan Stroberi,59.75,11.0,46.0,697.0,Makanan penutup
14,Clafouti dengan Kismis,42.75,10.0,54.0,697.0,Makanan penutup
15,Sandwich Coppa Tekan dengan Brokoli Rabe Pesto,34.75,38.0,45.0,696.0,Sandwich
16,Kentang Panggang dengan Hash Steak Rib-Eye,56.25,21.0,43.0,696.0,Masakan Barat
17,Pasta Lobster dengan Saus Krim Herbal,58.75,50.0,29.0,696.0,Pasta
18,Pistachio Crème Brûlée dengan Saus Ceri Asam,29.0,10.0,60.0,696.0,Makanan penutup
19,Risotto Udang dan Kacang,131.25,18.0,11.0,696.0,Masakan Barat
20,Kue Asparagus,59.5,20.0,42.0,696.0,Makanan penutup
21,Tiram Krim Di Atas Roti Jagung Panggang,114.0,26.0,15.0,695.0,Masakan Barat
22,Galette Keju Kambing dan Daun Bawang,90.5,27.0,25.0,695.0,Masakan Barat
23,Ayam Marsala,36.0,59.0,35.0,695.0,Lauk
24,Salad Pizza Campur,43.5,29.0,45.0,695.0,Salad
25,Stew Daging Sapi Tuscan dengan Polenta,61.25,54.0,26.0,695.0,Masakan Barat
26,Saus Salad Bawang Putih Panggang dan Buttermilk,12.25,13.0,66.0,695.0,Salad
27,Sandwich Cheddar dan Adas Panggang dengan Kari Mayo,41.25,22.0,49.0,694.0,Sandwich
28,Pasta dengan Terong dan Saus Kemangi,77.5,24.0,32.0,694.0,Pasta
29,Rebusan Daging Sapi dan Jamur,15.5,50.0,48.0,694.0,Masakan Indonesia
30,Salad Daging Sapi dan Jeruk dengan Vinaigrette Mustard Bawang Merah,19.5,37.0,52.0,694.0,Salad
31,Linguine dengan Udang Bawang Putih dan Kemangi,74.25,43.0,25.0,694.0,Pasta
32,Udang dan Bubur Jagung,58.0,48.0,30.0,694.0,Masakan Barat
33,"Ayam Panggang, Paprika, dan Salad Bawang",20.0,50.0,46.0,694.0,Salad
34,Daging Rebus dengan Butternut Squash,42.5,59.0,32.0,694.0,Masakan Asia
35,Poulet Au Vinaigre A L'Estragon,15.75,52.0,47.0,694.0,Masakan Barat
36,Daging Sapi Ala Thailand dengan Mie,78.25,41.0,24.0,693.0,Masakan Asia
37,Sayuran Termarinasi Panggang dengan Mozzarella Segar,44.5,23.0,47.0,693.0,Salad
38,"Couscous Israel, Kacang Polong, Awetan Lemon, Mint dan Keju Kambing",85.5,27.0,27.0,693.0,Masakan Barat
39,Ravioli Isi Ricotta (Ravioli Di Ricotta),95.75,30.0,21.0,692.0,Pasta
40,Gratin Kentang-Parsinip,39.25,10.0,55.0,692.0,Masakan Barat
41,"Quesadilla Jagung Bakar, Zucchini, dan Kacang Hitam",60.25,25.0,39.0,692.0,Masakan Barat
42,Shepherd's Pie Sois dengan Ubi Jalar dan Labu,79.75,37.0,25.0,692.0,Masakan Barat
43,Salmon dalam Saus Kerang Saffron,15.25,61.0,43.0,692.0,Lauk
44,Rebus Udang dengan Saus Lobak Pedas,95.0,35.0,19.0,691.0,Lauk
45,Steak Domba Panggang Mediterania,17.75,47.0,48.0,691.0,Lauk
46,Kepiting Cangkang Lunak dengan Bayam Layu dan Vinaigrette Tomat-Basil Hangat,23.5,57.0,41.0,691.0,Masakan Barat
47,Spaghetti dengan Brokoli Rabe dan Bawang Putih,88.5,19.0,29.0,691.0,Pasta
48,Onion Rings Cabai Merah,40.25,11.0,54.0,691.0,Makanan ringan
49,Rebusan Daging Sapi Thailand dengan Serai dan Mie,59.5,57.0,25.0,691.0,Masakan Asia
50,Pasta dengan Butternut Squash dan Rosemary,81.5,26.0,29.0,691.0,Pasta
51,"Farfalle dengan Kacang Polong, Lemon, dan Mint",102.0,28.0,19.0,691.0,Pasta
52,Stew Kerang Provençale,33.0,97.0,19.0,691.0,Masakan Barat
53,Sup Bawang Perancis dengan Comté,47.0,40.0,38.0,690.0,Masakan Barat
54,Spaghettini dengan Saus Tomat Pedas,104.75,25.0,19.0,690.0,Pasta
55,Stew Kentang,80.5,20.0,32.0,690.0,Masakan Barat
56,Cokelat Aprikot Kugelhupf,98.25,11.0,28.0,689.0,Makanan penutup
57,Ikan Lele Goreng Oven dengan Saus Rémoulade,34.75,34.0,46.0,689.0,Lauk
58,Lasagna Kacang Hitam Kinstlinger-Bruhn,55.5,38.0,35.0,689.0,Pasta
